FromNode,FromPort,ToNode,ToPort,DataRate,Delay
s41,0,s42,0,100Gbps,800us
s41,1,s1,0,100Gbps,1us
s41,2,s2,0,100Gbps,1us
s41,3,s3,0,100Gbps,1us
s41,4,s4,0,100Gbps,1us
s1,1,s5,0,100Gbps,1us
s1,2,s7,0,100Gbps,1us
s1,3,s9,0,100Gbps,1us
s1,4,s11,0,100Gbps,1us
s2,1,s5,1,100Gbps,1us
s2,2,s7,1,100Gbps,1us
s2,3,s9,1,100Gbps,1us
s2,4,s11,1,100Gbps,1us
s3,1,s6,0,100Gbps,1us
s3,2,s8,0,100Gbps,1us
s3,3,s10,0,100Gbps,1us
s3,4,s12,0,100Gbps,1us
s4,1,s6,1,100Gbps,1us
s4,2,s8,1,100Gbps,1us
s4,3,s10,1,100Gbps,1us
s4,4,s12,1,100Gbps,1us
s5,2,s13,0,100Gbps,1us
s5,3,s14,0,100Gbps,1us
s6,2,s13,1,100Gbps,1us
s6,3,s14,1,100Gbps,1us
s7,2,s15,0,100Gbps,1us
s7,3,s16,0,100Gbps,1us
s8,2,s15,1,100Gbps,1us
s8,3,s16,1,100Gbps,1us
s9,2,s17,0,100Gbps,1us
s9,3,s18,0,100Gbps,1us
s10,2,s17,1,100Gbps,1us
s10,3,s18,1,100Gbps,1us
s11,2,s19,0,100Gbps,1us
s11,3,s20,0,100Gbps,1us
s12,2,s19,1,100Gbps,1us
s12,3,s20,1,100Gbps,1us
s13,2,h1,0,100Gbps,1us
s13,3,h2,0,100Gbps,1us
s14,2,h3,0,100Gbps,1us
s14,3,h4,0,100Gbps,1us
s15,2,h5,0,100Gbps,1us
s15,3,h6,0,100Gbps,1us
s16,2,h7,0,100Gbps,1us
s16,3,h8,0,100Gbps,1us
s17,2,h9,0,100Gbps,1us
s17,3,h10,0,100Gbps,1us
s18,2,h11,0,100Gbps,1us
s18,3,h12,0,100Gbps,1us
s19,2,h13,0,100Gbps,1us
s19,3,h14,0,100Gbps,1us
s20,2,h15,0,100Gbps,1us
s20,3,h16,0,100Gbps,1us
s42,1,s21,0,100Gbps,1us
s42,2,s22,0,100Gbps,1us
s42,3,s23,0,100Gbps,1us
s42,4,s24,0,100Gbps,1us
s21,1,s25,0,100Gbps,1us
s21,2,s27,0,100Gbps,1us
s21,3,s29,0,100Gbps,1us
s21,4,s31,0,100Gbps,1us
s22,1,s25,1,100Gbps,1us
s22,2,s27,1,100Gbps,1us
s22,3,s29,1,100Gbps,1us
s22,4,s31,1,100Gbps,1us
s23,1,s26,0,100Gbps,1us
s23,2,s28,0,100Gbps,1us
s23,3,s30,0,100Gbps,1us
s23,4,s32,0,100Gbps,1us
s24,1,s26,1,100Gbps,1us
s24,2,s28,1,100Gbps,1us
s24,3,s30,1,100Gbps,1us
s24,4,s32,1,100Gbps,1us
s25,2,s33,0,100Gbps,1us
s25,3,s34,0,100Gbps,1us
s26,2,s33,1,100Gbps,1us
s26,3,s34,1,100Gbps,1us
s27,2,s35,0,100Gbps,1us
s27,3,s36,0,100Gbps,1us
s28,2,s35,1,100Gbps,1us
s28,3,s36,1,100Gbps,1us
s29,2,s37,0,100Gbps,1us
s29,3,s38,0,100Gbps,1us
s30,2,s37,1,100Gbps,1us
s30,3,s38,1,100Gbps,1us
s31,2,s39,0,100Gbps,1us
s31,3,s40,0,100Gbps,1us
s32,2,s39,1,100Gbps,1us
s32,3,s40,1,100Gbps,1us
s33,2,h17,0,100Gbps,1us
s33,3,h18,0,100Gbps,1us
s34,2,h19,0,100Gbps,1us
s34,3,h20,0,100Gbps,1us
s35,2,h21,0,100Gbps,1us
s35,3,h22,0,100Gbps,1us
s36,2,h23,0,100Gbps,1us
s36,3,h24,0,100Gbps,1us
s37,2,h25,0,100Gbps,1us
s37,3,h26,0,100Gbps,1us
s38,2,h27,0,100Gbps,1us
s38,3,h28,0,100Gbps,1us
s39,2,h29,0,100Gbps,1us
s39,3,h30,0,100Gbps,1us
s40,2,h31,0,100Gbps,1us
s40,3,h32,0,100Gbps,1us